SnapYr,Forest Type,TotalArea
2000,Conifer Lowland,5699612.72
2000,Conifer Upland,6434713.8100000005
2000,Jack Pine,2216974.69
2000,Mixedwood,5792145.9799999995
2000,Poplar,1927108.83
2000,Red and White Pine,837291.5
2000,Tolerant Hardwoods,1135178.66
2000,White Birch,1568823.73
2010,Conifer Lowland,6141328.2299999995
2010,Conifer Upland,6689679.26
2010,Jack Pine,2208763.46
2010,Mixedwood,5061836.12
2010,Poplar,2641554.9299999997
2010,Red and White Pine,735599.26
2010,Tolerant Hardwoods,1215299.28
2010,White Birch,1712466.21
2020,Conifer Lowland,6089623.88
2020,Conifer Upland,7940676.46
2020,Jack Pine,2298517.21
2020,Mixedwood,5935338.2700000005
2020,Poplar,2015494.3
2020,Red and White Pine,953854.12
2020,Tolerant Hardwoods,1214290.8
2020,White Birch,1259905.02
