"PFT","SnapYr","Forest Type","AC_10","Age Class","SumOfHa"
"BWT",2000,"White Birch",5,"0-10",68847.15
"BWT",2000,"White Birch",15,"11-20",35017.58
"BWT",2000,"White Birch",25,"21-30",26495.78
"BWT",2000,"White Birch",35,"31-40",52836.65
"BWT",2000,"White Birch",45,"41-50",151311.74
"BWT",2000,"White Birch",55,"51-60",258147.87
"BWT",2000,"White Birch",65,"61-70",283886.04
"BWT",2000,"White Birch",75,"71-80",256529.25
"BWT",2000,"White Birch",85,"81-90",184020.70
"BWT",2000,"White Birch",95,"91-100",116520.73
"BWT",2000,"White Birch",105,"101-110",70809.48
"BWT",2000,"White Birch",115,"111-120",26006.27
"BWT",2000,"White Birch",125,"121-130",17170.92
"BWT",2000,"White Birch",135,"131-140",8928.11
"BWT",2000,"White Birch",145,"141-150",6413.19
"BWT",2000,"White Birch",155,"151-160",2137.72
"BWT",2000,"White Birch",165,"161-170",887.08
"BWT",2000,"White Birch",175,"171-180",1084.74
"BWT",2000,"White Birch",185,"181+",1772.73
"BWT",2005,"White Birch",5,"0-10",116535.51
"BWT",2005,"White Birch",15,"11-20",55110.62
"BWT",2005,"White Birch",25,"21-30",26648.23
"BWT",2005,"White Birch",35,"31-40",32594.18
"BWT",2005,"White Birch",45,"41-50",80809.60
"BWT",2005,"White Birch",55,"51-60",204042.79
"BWT",2005,"White Birch",65,"61-70",267227.41
"BWT",2005,"White Birch",75,"71-80",267882.21
"BWT",2005,"White Birch",85,"81-90",212141.99
"BWT",2005,"White Birch",95,"91-100",136965.13
"BWT",2005,"White Birch",105,"101-110",89565.85
"BWT",2005,"White Birch",115,"111-120",44176.59
"BWT",2005,"White Birch",125,"121-130",21596.87
"BWT",2005,"White Birch",135,"131-140",6634.96
"BWT",2005,"White Birch",145,"141-150",2728.07
"BWT",2005,"White Birch",155,"151-160",4495.05
"BWT",2005,"White Birch",165,"161-170",564.89
"BWT",2005,"White Birch",175,"171-180",509.23
"BWT",2005,"White Birch",185,"181+",198.06
"BWT",2010,"White Birch",5,"0-10",80550.53
"BWT",2010,"White Birch",15,"11-20",78337.43
"BWT",2010,"White Birch",25,"21-30",35006.95
"BWT",2010,"White Birch",35,"31-40",43762.29
"BWT",2010,"White Birch",45,"41-50",50214.15
"BWT",2010,"White Birch",55,"51-60",143345.47
"BWT",2010,"White Birch",65,"61-70",301748.36
"BWT",2010,"White Birch",75,"71-80",314660.59
"BWT",2010,"White Birch",85,"81-90",264151.46
"BWT",2010,"White Birch",95,"91-100",182034.81
"BWT",2010,"White Birch",105,"101-110",107802.17
"BWT",2010,"White Birch",115,"111-120",60924.16
"BWT",2010,"White Birch",125,"121-130",24711.05
"BWT",2010,"White Birch",135,"131-140",11899.47
"BWT",2010,"White Birch",145,"141-150",5439.98
"BWT",2010,"White Birch",155,"151-160",5545.13
"BWT",2010,"White Birch",165,"161-170",854.65
"BWT",2010,"White Birch",175,"171-180",545.86
"BWT",2010,"White Birch",185,"181+",931.70
"BWT",2015,"White Birch",5,"0-10",62864.65
"BWT",2015,"White Birch",15,"11-20",79932.15
"BWT",2015,"White Birch",25,"21-30",45148.91
"BWT",2015,"White Birch",35,"31-40",41918.97
"BWT",2015,"White Birch",45,"41-50",42797.77
"BWT",2015,"White Birch",55,"51-60",108110.97
"BWT",2015,"White Birch",65,"61-70",228798.58
"BWT",2015,"White Birch",75,"71-80",293778.44
